SrcAddr,DstAddr,Proto,Sport,Dport,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,StartTime,LastTime,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Tag
147.32.86.20,87.98.230.229,tcp,3145,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016451,0.016348,0.000103,14,23,973,28930,143,27662,0.135499,37,29903,27805,265.684631,109.157471,184.639648,flow=Background-TCP-Established
67.195.111.228,147.32.84.2,tcp,35872,80,FIN,0,0,26112,6912,17,1,8/14/2011 7:15,8/14/2011 7:15,47,63,0.177845,0.000091,0.177754,19,24,1646,30460,384,28868,0.906057,43,32106,29252,46.354698,19.86812,25.387266,flow=Background-TCP-Established
95.108.158.243,147.32.86.92,tcp,50796,80,RST,0,0,63456,6912,13,1,8/14/2011 7:15,8/14/2011 7:15,51,63,0.0622,0.000132,0.062068,6,4,692,2498,288,2226,0.266486,10,3190,2514,33.772884,18.762712,14.721325,flow=Background-TCP-Established
147.32.86.126,89.185.253.133,tcp,55467,443,RST,0,0,16064,8000,1,7,8/14/2011 7:15,8/14/2011 7:15,63,57,0.000776,0.000616,0.00016,10,9,1136,3367,554,2851,0.586497,19,4503,3405,30.690693,15.345346,13.69434,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3146,80,FIN,0,0,64634,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026326,0.026227,0.000099,13,24,909,29963,139,28641,0.242444,37,30872,28780,148.4879,49.495968,106.439102,flow=Background-TCP-Established
147.32.85.74,195.113.20.128,tcp,36710,80,FIN,0,0,15744,6912,1,5,8/14/2011 7:15,8/14/2011 7:15,63,59,0.000786,0.000583,0.000203,6,4,548,541,144,269,0.079454,10,1089,413,113.273094,62.929497,38.118469,flow=Background-TCP-Established
90.183.39.17,147.32.84.14,tcp,34474,80,RST,0,0,11648,6912,11,1,8/14/2011 7:15,8/14/2011 7:15,53,63,0.000976,0.000005,0.000971,9,8,1110,5324,478,4788,0.018433,17,6434,5266,868.008423,434.004211,399.81723,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,1369,3389,RST,0,0,65535,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.020892,0.00037,0.020522,77,125,6079,143142,1541,136354,1.971394,202,149221,137895,101.958313,38.551403,63.798706,flow=Background-TCP-Established
147.32.86.92,87.236.199.95,tcp,57363,80,FIN,0,0,8000,6144,1,7,8/14/2011 7:15,8/14/2011 7:15,63,57,0.000929,0.000796,0.000133,7,6,656,1354,234,1000,1.213764,13,2010,1234,9.886601,4.943301,4.122477,flow=Background-TCP-Established
147.32.86.20,80.239.207.156,tcp,3147,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.037955,0.037851,0.000104,11,20,798,23483,148,22377,0.309552,31,24281,22525,96.914246,32.304749,69.954529,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3148,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026684,0.026669,0.000015,15,23,1029,28342,139,27074,0.217032,38,29371,27213,170.481766,64.506615,115.577179,flow=Background-TCP-Established
147.32.84.170,209.85.148.104,tcp,38342,80,FIN,0,0,14720,363008,1,9,8/14/2011 7:15,8/14/2011 7:15,63,55,0.008915,0.008769,0.000146,4,2,272,140,0,0,0.018039,6,412,0,277.177246,166.306335,108.038033,flow=From-Normal-V44-Stribrek
67.195.111.228,147.32.84.2,tcp,36142,80,FIN,0,0,26112,6912,17,1,8/14/2011 7:15,8/14/2011 7:15,47,63,0.176371,0.000111,0.17626,24,34,1968,46641,376,44389,0.891173,58,48609,44765,63.960644,25.811113,37.034458,flow=Background-TCP-Established
178.77.71.27,147.32.86.95,tcp,3185,3389,RST,0,0,65535,64240,10,1,8/14/2011 7:15,8/14/2011 7:15,118,127,0.027272,0.006755,0.020517,100,147,7519,189212,1541,181236,8.380624,247,196731,182777,29.353424,11.812963,17.480194,flow=Background-TCP-Established
66.249.72.186,147.32.86.92,tcp,65509,80,FIN,0,0,34816,9024,15,1,8/14/2011 7:15,8/14/2011 7:15,49,63,0.103342,0.000019,0.103323,17,15,2133,13389,1003,12391,23.026201,32,15522,13394,1.346292,0.694861,0.610746,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3149,80,FIN,0,0,65535,5840,1,14,8/14/2011 7:15,8/14/2011 7:15,127,50,0.026195,0.026177,0.000018,15,24,1029,29963,139,28641,0.215274,39,30992,28780,176.519226,65.033394,121.639709,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,3493,3389,RST,0,0,65535,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.021025,0.000281,0.020744,87,129,6679,148065,1541,141061,2.557849,216,154744,142602,84.055,33.622002,50.467117,flow=Background-TCP-Established
147.32.86.20,87.98.230.229,tcp,3150,80,FIN,0,0,64264,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016428,0.016414,0.000014,14,21,973,25791,143,24631,0.135342,35,26764,24774,251.215439,109.30616,168.168976,flow=Background-TCP-Established
147.32.86.20,87.98.230.229,tcp,3151,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016404,0.01639,0.000014,24,50,1571,69340,141,66614,0.170187,74,70911,66755,428.939941,149.442841,318.601807,flow=Background-TCP-Established
147.32.86.20,193.93.174.21,tcp,3152,80,FIN,0,0,65535,65379,1,9,8/14/2011 7:15,8/14/2011 7:15,127,119,0.016564,0.01655,0.000014,20,65,1346,85032,156,81490,0.946056,85,86378,81646,88.789673,20.083378,68.854149,flow=Background-TCP-Established
147.32.86.89,77.75.76.6,tcp,4831,80,RST,0,0,65186,6816,1,8,8/14/2011 7:15,8/14/2011 7:17,127,56,0.000702,0.000682,0.00002,6,5,1208,645,852,349,129.924835,11,1853,1201,0.076968,0.038484,0.030787,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,1309,3389,RST,0,0,65535,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.02107,0.000495,0.020575,84,127,6499,144810,1541,137914,2.324753,211,151309,139455,90.332176,35.702717,54.70816,flow=Background-TCP-Established
64.202.189.170,147.32.85.84,tcp,80,60023,RST,0,0,0,0,37,1,8/14/2011 7:15,8/14/2011 7:15,91,63,0,0,0,1,1,60,60,0,0,0.000224,2,120,0,4464.285645,0,0,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3153,80,FIN,0,0,65535,5840,1,14,8/14/2011 7:15,8/14/2011 7:15,127,50,0.026098,0.026013,0.000085,15,23,1029,28342,139,27074,0.215192,38,29371,27213,171.939468,65.058182,116.301201,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3154,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026122,0.026108,0.000014,16,24,1089,29963,139,28641,0.21593,40,31052,28780,180.61409,69.466957,121.175087,flow=Background-TCP-Established
