SrcAddr,DstAddr,Proto,Sport,Dport,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,StartTime,LastTime,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Label
31.96.153.11,147.32.84.229,tcp,60257,443,RST,0,0,2097152,65535,25,1,53:40.0,53:49.3,103,127,0.000146,0.000146,0,3,4,208,300,0,0,9.016532,7,508,0,0.665444,0.221815,0.336762,flow=Background-TCP-Established
83.228.37.92,147.32.84.229,tcp,2571,13363,RST,0,0,65535,65535,16,1,55:01.1,55:04.0,112,127,0.000206,0.000206,0,2,1,122,62,0,0,2.903761,3,184,0,0.688762,0.344381,0,flow=Background-TCP-Established
83.228.37.92,147.32.84.229,tcp,2574,443,RST,0,0,65535,65535,16,1,55:02.7,55:05.7,112,127,0.000192,0.000192,0,2,1,122,62,0,0,3.032142,3,184,0,0.6596,0.3298,0,flow=Background-TCP-Established
83.228.37.92,147.32.84.229,tcp,2576,80,RST,0,0,65535,65535,16,1,55:04.3,55:07.2,112,127,0.000234,0.000234,0,2,1,122,62,0,0,2.932428,3,184,0,0.682029,0.341014,0,flow=Background-TCP-Established
83.228.37.92,147.32.84.229,tcp,2571,13363,RST,0,0,65535,65535,16,1,55:04.0,55:10.0,112,127,0.000238,0.000238,0,2,1,122,62,0,0,6.017523,3,184,0,0.332363,0.166181,0,flow=Background-TCP-Established
83.228.37.92,147.32.84.229,tcp,2574,443,RST,0,0,65535,65535,16,1,55:05.7,55:11.7,112,127,0.000252,0.000252,0,2,1,122,62,0,0,6.017334,3,184,0,0.332373,0.166187,0,flow=Background-TCP-Established
83.228.37.92,147.32.84.229,tcp,2576,80,RST,0,0,65535,65535,16,1,55:07.2,55:13.3,112,127,0.000217,0.000217,0,2,1,122,62,0,0,6.018259,3,184,0,0.332322,0.166161,0,flow=Background-TCP-Established
212.77.209.74,147.32.84.8,tcp,15491,49423,RST,0,0,8192,0,11,1,56:43.8,56:45.0,117,63,0,0,0,2,2,124,120,0,0,1.293702,4,244,0,2.318927,0.772976,1.548942,flow=Background-TCP-Attempt
147.32.86.58,77.75.73.156,tcp,4245,80,RST,0,0,65535,8526,1,8,58:02.0,58:05.0,127,56,0,0,0,2,1,122,60,0,0,2.952736,3,182,0,0.677338,0.338669,0,flow=Background-TCP-Attempt
88.40.172.83,147.32.84.229,tcp,46989,13363,RST,0,0,1400,65535,19,1,50:17.7,59:09.2,45,127,0.000262,0.000262,0,3,1,180,60,0,0,531.500183,4,240,0,0.005644,0.003763,0,flow=Background-TCP-Established
208.54.90.235,147.32.84.229,tcp,43694,443,RST,0,0,200000,65535,78,1,00:11.7,00:33.8,178,127,0.120567,0.00014,0.120427,4,2,246,126,0,0,22.164911,6,372,0,0.225582,0.135349,0.061954,flow=Background-TCP-Established
130.225.177.22,147.32.84.59,tcp,49272,16711,RST,0,0,2097152,0,21,1,02:11.2,02:12.2,107,63,0,0,0,2,2,132,120,0,0,1.064395,4,252,0,2.818503,0.939501,1.868237,flow=Background-Established-cmpgw-CVUT
